end_code,country_code,domaincat_desc,statisticcat_desc,location_desc,zip_5,source_desc,state_ansi,week_ending,prodn_practice_desc,county_code,congr_district_code,CV (%),year,Value,group_desc,country_name,class_desc,domain_desc,util_practice_desc,asd_desc,watershed_desc,agg_level_desc,county_name,county_ansi,state_alpha,state_name,load_time,commodity_desc,region_desc,freq_desc,unit_desc,state_fips_code,watershed_code,short_desc,begin_code,sector_desc,asd_code,reference_period_desc
SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2022,26.5,03.20,029,,ALL PRODUCTION PRACTICES,SURVEY,,06,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",,NOT SPECIFIED,00,9000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00,CROPS,51,YEAR,TONS / ACRE,06,00000000,ANNUAL,CORN,,CALIFORNIA,2023-02-24 15:00:00.000,KERN,CA,029,COUNTY,,SAN JOAQUIN VALLEY
UNITED STATES,ALL CLASSES,25,2021,FIELD CROPS,SILAGE,TOTAL,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,06,,SURVEY,9000,00,NOT SPECIFIED,03.70,ALL PRODUCTION PRACTICES,,029,2023-02-24 15:00:00.000,CALIFORNIA,,CORN,00000000,TONS / ACRE,06,00,CROPS,51,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,,SAN JOAQUIN VALLEY,029,CA,KERN,COUNTY
2.6,ALL PRODUCTION PRACTICES,,029,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED,SILAGE,TOTAL,UNITED STATES,ALL CLASSES,25.5,2020,FIELD CROPS,CA,029,KERN,COUNTY,,SAN JOAQUIN VALLEY,00000000,06,TONS / ACRE,00,51,YEAR,CROPS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,2022-02-24 15:00:14.000,CALIFORNIA,,CORN
ALL PRODUCTION PRACTICES,,029,,9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,06,,SURVEY,TOTAL,SILAGE,26,2017,FIELD CROPS,UNITED STATES,ALL CLASSES,COUNTY,029,CA,KERN,SAN JOAQUIN VALLEY,,ANNUAL,00000000,06,TONS / ACRE,YEAR,51,00,CROPS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",2018-02-22 15:08:35.000,CALIFORNIA,,CORN
COUNTY,KERN,CA,029,SAN JOAQUIN VALLEY,,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",YEAR,51,CROPS,00,TONS / ACRE,06,00000000,CORN,,CALIFORNIA,2017-02-23 15:00:08.000,029,,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,00,9000,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",,TOTAL,SILAGE,FIELD CROPS,2016,27.5,ALL CLASSES,UNITED STATES
UNITED STATES,ALL CLASSES,2015,25,FIELD CROPS,SILAGE,TOTAL,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",,SURVEY,,06,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,029,,CALIFORNIA,2017-02-23 15:00:08.000,CORN,,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,00,CROPS,YEAR,ANNUAL,,SAN JOAQUIN VALLEY,KERN,029,CA,COUNTY
NOT SPECIFIED,00,9000,SURVEY,,06,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",,029,,ALL PRODUCTION PRACTICES,,FIELD CROPS,2014,24.5,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,SAN JOAQUIN VALLEY,,COUNTY,KERN,CA,029,CORN,,2015-02-19 15:38:52.000,CALIFORNIA,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,00,YEAR,TONS / ACRE,06,00000000
CROPS,00,51,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,TONS / ACRE,06,ANNUAL,,CORN,2019-10-01 15:11:43.000,CALIFORNIA,CA,029,KERN,COUNTY,,SAN JOAQUIN VALLEY,SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,24.5,2013,,,029,ALL PRODUCTION PRACTICES,,06,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,NOT SPECIFIED,9000,00
SAN JOAQUIN VALLEY,,COUNTY,CA,029,KERN,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,ANNUAL,CROPS,00,YEAR,51,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,NOT SPECIFIED,9000,00,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,,029,ALL PRODUCTION PRACTICES,,FIELD CROPS,26.5,2012,ALL CLASSES,UNITED STATES,TOTAL,SILAGE
CALIFORNIA,2015-06-03 15:08:31.000,CORN,,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,YEAR,00,ANNUAL,,SAN JOAQUIN VALLEY,KERN,029,CA,COUNTY,UNITED STATES,ALL CLASSES,2011,22,FIELD CROPS,SILAGE,TOTAL,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,,SURVEY,06,,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,029,
23,2010,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE,9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, KERN",YIELD,,06,SURVEY,ALL PRODUCTION PRACTICES,,029,,CALIFORNIA,2015-06-03 15:08:31.000,,CORN,ANNUAL,00000000,06,TONS / ACRE,00,CROPS,YEAR,51,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",SAN JOAQUIN VALLEY,,COUNTY,029,CA,KERN
FIELD CROPS,25,2022,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,NOT SPECIFIED,9000,00,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",YIELD,,031,ALL PRODUCTION PRACTICES,05.00,,CORN,CALIFORNIA,2023-02-24 15:00:00.000,ANNUAL,YEAR,51,CROPS,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,SAN JOAQUIN VALLEY,,COUNTY,CA,031,KINGS
,SAN JOAQUIN VALLEY,KINGS,CA,031,COUNTY,CORN,,CALIFORNIA,2023-02-24 15:00:00.000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,00,YEAR,51,06,TONS / ACRE,00000000,ANNUAL,SURVEY,,06,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",,NOT SPECIFIED,00,9000,05.90,031,,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,2021,26.5,SILAGE,TOTAL
SILAGE,TOTAL,UNITED STATES,ALL CLASSES,24.5,2020,FIELD CROPS,3.8,ALL PRODUCTION PRACTICES,,031,,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED,00000000,TONS / ACRE,06,YEAR,CROPS,51,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,CALIFORNIA,2022-02-24 15:00:14.000,,CORN,CA,031,KINGS,COUNTY,,SAN JOAQUIN VALLEY
"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,00,YEAR,06,TONS / ACRE,00000000,ANNUAL,CORN,,2021-02-25 15:10:17.000,CALIFORNIA,KINGS,031,CA,COUNTY,,SAN JOAQUIN VALLEY,SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2019,25.5,,031,,ALL PRODUCTION PRACTICES,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",,NOT SPECIFIED,00,9000
SILAGE,TOTAL,UNITED STATES,ALL CLASSES,2018,24.5,FIELD CROPS,,ALL PRODUCTION PRACTICES,031,,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",YIELD,,SURVEY,,06,00,9000,NOT SPECIFIED,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,00,YEAR,ANNUAL,CALIFORNIA,2019-03-21 15:00:18.000,CORN,,KINGS,031,CA,COUNTY,,SAN JOAQUIN VALLEY
CA,031,KINGS,COUNTY,,SAN JOAQUIN VALLEY,00000000,06,TONS / ACRE,00,CROPS,YEAR,51,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,2017-02-23 15:00:08.000,CALIFORNIA,,CORN,,ALL PRODUCTION PRACTICES,,031,,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED,SILAGE,TOTAL,UNITED STATES,ALL CLASSES,24.5,2016,FIELD CROPS
ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,YEAR,CROPS,00,06,TONS / ACRE,00000000,CORN,,CALIFORNIA,2017-02-23 15:00:08.000,COUNTY,KINGS,CA,031,SAN JOAQUIN VALLEY,,TOTAL,SILAGE,FIELD CROPS,2015,26,ALL CLASSES,UNITED STATES,031,,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,00,9000,SURVEY,,06,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",YIELD,
ANNUAL,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,00,YEAR,CALIFORNIA,2015-02-19 15:38:52.000,CORN,,COUNTY,KINGS,CA,031,SAN JOAQUIN VALLEY,,TOTAL,SILAGE,2014,27,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,031,,,00,9000,NOT SPECIFIED,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",YIELD,,SURVEY,06,
ANNUAL,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,00,YEAR,CALIFORNIA,2019-10-01 15:11:43.000,CORN,,COUNTY,KINGS,031,CA,SAN JOAQUIN VALLEY,,TOTAL,SILAGE,2013,24,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,031,,,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",,SURVEY,,06
COUNTY,031,CA,KINGS,SAN JOAQUIN VALLEY,,ANNUAL,00000000,TONS / ACRE,06,CROPS,51,00,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",2015-06-03 15:08:31.000,CALIFORNIA,,CORN,ALL PRODUCTION PRACTICES,,031,,9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",YIELD,,06,SURVEY,TOTAL,SILAGE,27,2012,FIELD CROPS,UNITED STATES,ALL CLASSES
SAN JOAQUIN VALLEY,,COUNTY,CA,031,KINGS,CALIFORNIA,2015-06-03 15:08:31.000,,CORN,ANNUAL,00000000,06,TONS / ACRE,51,00,CROPS,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",9000,00,NOT SPECIFIED,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",,06,SURVEY,ALL PRODUCTION PRACTICES,,031,,24.5,2011,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE
ANNUAL,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,00,YEAR,2015-06-03 15:08:31.000,CALIFORNIA,CORN,,COUNTY,KINGS,031,CA,SAN JOAQUIN VALLEY,,TOTAL,SILAGE,2010,26,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,031,,,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, KINGS",,SURVEY,,06
,CORN,CALIFORNIA,2023-02-24 15:00:00.000,00,51,CROPS,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,TONS / ACRE,06,ANNUAL,,SAN JOAQUIN VALLEY,CA,039,MADERA,COUNTY,ALL CLASSES,UNITED STATES,FIELD CROPS,27,2022,SILAGE,TOTAL,06,,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MADERA",NOT SPECIFIED,9000,00,06.70,,039,ALL PRODUCTION PRACTICES
CORN,,CALIFORNIA,2023-02-24 15:00:00.000,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,00,YEAR,CROPS,06,TONS / ACRE,00000000,SAN JOAQUIN VALLEY,,COUNTY,MADERA,039,CA,FIELD CROPS,2021,30.5,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,NOT SPECIFIED,00,9000,SURVEY,06,,"CALIFORNIA, SAN JOAQUIN VALLEY, MADERA",YIELD,,039,,ALL PRODUCTION PRACTICES,03.00
UNITED STATES,ALL CLASSES,2020,29.5,FIELD CROPS,SILAGE,TOTAL,"CALIFORNIA, SAN JOAQUIN VALLEY, MADERA",YIELD,,SURVEY,,06,00,9000,NOT SPECIFIED,3.0,ALL PRODUCTION PRACTICES,039,,CALIFORNIA,2022-02-24 15:00:14.000,CORN,,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,00,YEAR,ANNUAL,,SAN JOAQUIN VALLEY,MADERA,CA,039,COUNTY
NOT SPECIFIED,9000,00,,06,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, MADERA",YIELD,,039,ALL PRODUCTION PRACTICES,,FIELD CROPS,29,2017,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,SAN JOAQUIN VALLEY,,COUNTY,039,CA,MADERA,,CORN,CALIFORNIA,2018-02-22 15:08:35.000,ANNUAL,YEAR,51,00,CROPS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE
ALL CLASSES,UNITED STATES,FIELD CROPS,27,2016,SILAGE,TOTAL,,06,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MADERA",NOT SPECIFIED,9000,00,,,039,ALL PRODUCTION PRACTICES,,CORN,2017-02-23 15:00:08.000,CALIFORNIA,YEAR,CROPS,51,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,TONS / ACRE,06,ANNUAL,,SAN JOAQUIN VALLEY,CA,039,MADERA,COUNTY
,SAN JOAQUIN VALLEY,039,CA,MADERA,COUNTY,2015-02-19 15:38:52.000,CALIFORNIA,,CORN,00000000,TONS / ACRE,06,51,00,YEAR,CROPS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,,"CALIFORNIA, SAN JOAQUIN VALLEY, MADERA",YIELD,06,,SURVEY,9000,00,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,,039,UNITED STATES,ALL CLASSES,25.5,2014,FIELD CROPS,SILAGE,TOTAL
,SAN JOAQUIN VALLEY,MADERA,CA,039,COUNTY,CORN,,2019-10-01 15:11:43.000,CALIFORNIA,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,00,YEAR,06,TONS / ACRE,00000000,ANNUAL,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MADERA",,NOT SPECIFIED,00,9000,,039,,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,2013,25,SILAGE,TOTAL
,ALL PRODUCTION PRACTICES,,039,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MADERA",06,,SURVEY,9000,00,NOT SPECIFIED,SILAGE,TOTAL,UNITED STATES,ALL CLASSES,23,2012,FIELD CROPS,039,CA,MADERA,COUNTY,,SAN JOAQUIN VALLEY,00000000,TONS / ACRE,06,CROPS,YEAR,51,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,CALIFORNIA,2015-06-03 15:08:31.000,,CORN
ANNUAL,51,YEAR,CROPS,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,TONS / ACRE,06,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,COUNTY,039,CA,MADERA,SAN JOAQUIN VALLEY,,TOTAL,SILAGE,FIELD CROPS,27,2011,ALL CLASSES,UNITED STATES,,039,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,9000,00,,06,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MADERA"
ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,YEAR,00,TONS / ACRE,06,00000000,CORN,,CALIFORNIA,2015-06-03 15:08:31.000,COUNTY,MADERA,039,CA,SAN JOAQUIN VALLEY,,TOTAL,SILAGE,FIELD CROPS,2010,26,ALL CLASSES,UNITED STATES,039,,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,00,9000,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MADERA",
,CORN,CALIFORNIA,2023-02-24 15:00:00.000,CROPS,51,YEAR,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,ANNUAL,,SAN JOAQUIN VALLEY,CA,047,MERCED,COUNTY,ALL CLASSES,UNITED STATES,FIELD CROPS,25.5,2022,SILAGE,TOTAL,06,,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",NOT SPECIFIED,9000,00,07.40,,047,ALL PRODUCTION PRACTICES
00,9000,NOT SPECIFIED,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",YIELD,,SURVEY,06,,ALL PRODUCTION PRACTICES,047,,03.00,2021,29,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE,SAN JOAQUIN VALLEY,,COUNTY,MERCED,047,CA,2023-02-24 15:00:00.000,CALIFORNIA,CORN,,ANNUAL,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,00,YEAR
SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,27,2020,3.9,,047,ALL PRODUCTION PRACTICES,,06,SURVEY,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",NOT SPECIFIED,9000,00,00,51,CROPS,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,ANNUAL,,CORN,2022-02-24 15:00:14.000,CALIFORNIA,047,CA,MERCED,COUNTY,,SAN JOAQUIN VALLEY
,CORN,CALIFORNIA,2021-02-25 15:10:17.000,CROPS,00,51,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,ANNUAL,,SAN JOAQUIN VALLEY,CA,047,MERCED,COUNTY,ALL CLASSES,UNITED STATES,FIELD CROPS,28.5,2019,SILAGE,TOTAL,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",YIELD,NOT SPECIFIED,9000,00,,,047,ALL PRODUCTION PRACTICES
ALL PRODUCTION PRACTICES,047,,,00,9000,NOT SPECIFIED,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",YIELD,,SURVEY,06,,TOTAL,SILAGE,2018,28,FIELD CROPS,UNITED STATES,ALL CLASSES,COUNTY,MERCED,047,CA,SAN JOAQUIN VALLEY,,ANNUAL,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,00,YEAR,2019-03-21 15:00:18.000,CALIFORNIA,CORN,
2018-02-22 15:08:35.000,CALIFORNIA,CORN,,ANNUAL,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,00,YEAR,SAN JOAQUIN VALLEY,,COUNTY,MERCED,CA,047,2017,27.5,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE,00,9000,NOT SPECIFIED,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",YIELD,,SURVEY,,06,ALL PRODUCTION PRACTICES,047,,
TOTAL,SILAGE,2016,27.5,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,047,,,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",,SURVEY,06,,ANNUAL,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,YEAR,00,2017-02-23 15:00:08.000,CALIFORNIA,CORN,,COUNTY,MERCED,047,CA,SAN JOAQUIN VALLEY,
MERCED,047,CA,COUNTY,,SAN JOAQUIN VALLEY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,YEAR,51,00,06,TONS / ACRE,00000000,ANNUAL,CORN,,CALIFORNIA,2017-02-23 15:00:08.000,,047,,ALL PRODUCTION PRACTICES,SURVEY,,06,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",,NOT SPECIFIED,00,9000,SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2015,26.5
MERCED,047,CA,COUNTY,,SAN JOAQUIN VALLEY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,YEAR,00,TONS / ACRE,06,00000000,ANNUAL,CORN,,2015-02-19 15:38:52.000,CALIFORNIA,,047,,ALL PRODUCTION PRACTICES,SURVEY,,06,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",,NOT SPECIFIED,00,9000,SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2014,27.5
CALIFORNIA,2019-10-01 15:11:43.000,CORN,,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00,CROPS,51,YEAR,ANNUAL,,SAN JOAQUIN VALLEY,MERCED,047,CA,COUNTY,UNITED STATES,ALL CLASSES,2013,27.5,FIELD CROPS,SILAGE,TOTAL,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",,SURVEY,,06,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,047,
NOT SPECIFIED,9000,00,,06,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",YIELD,,047,ALL PRODUCTION PRACTICES,,FIELD CROPS,26.5,2012,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,SAN JOAQUIN VALLEY,,COUNTY,047,CA,MERCED,,CORN,2015-06-03 15:08:31.000,CALIFORNIA,ANNUAL,YEAR,CROPS,51,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,TONS / ACRE,06
27.5,2011,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE,9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",YIELD,06,,SURVEY,ALL PRODUCTION PRACTICES,,047,,CALIFORNIA,2015-06-03 15:08:31.000,,CORN,ANNUAL,00000000,06,TONS / ACRE,51,00,YEAR,CROPS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",SAN JOAQUIN VALLEY,,COUNTY,CA,047,MERCED
,SAN JOAQUIN VALLEY,047,CA,MERCED,COUNTY,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,00,51,CROPS,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,ANNUAL,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, MERCED",YIELD,NOT SPECIFIED,9000,00,,,047,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,27,2010,SILAGE,TOTAL
,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",06,,SURVEY,9000,00,NOT SPECIFIED,03.20,ALL PRODUCTION PRACTICES,,077,UNITED STATES,ALL CLASSES,29,2022,FIELD CROPS,SILAGE,TOTAL,,SAN JOAQUIN VALLEY,077,CA,SAN JOAQUIN,COUNTY,2023-02-24 15:00:00.000,CALIFORNIA,,CORN,00000000,TONS / ACRE,06,CROPS,51,YEAR,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL
FIELD CROPS,2021,30.5,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,NOT SPECIFIED,00,9000,SURVEY,,06,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",,077,,ALL PRODUCTION PRACTICES,03.20,CORN,,2023-02-24 15:00:00.000,CALIFORNIA,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,00,YEAR,TONS / ACRE,06,00000000,SAN JOAQUIN VALLEY,,COUNTY,SAN JOAQUIN,077,CA
29,2020,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE,9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,06,,SURVEY,ALL PRODUCTION PRACTICES,,077,2.7,2022-02-24 15:00:14.000,CALIFORNIA,,CORN,ANNUAL,00000000,06,TONS / ACRE,00,51,CROPS,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",SAN JOAQUIN VALLEY,,COUNTY,CA,077,SAN JOAQUIN
