end_code,country_code,domaincat_desc,statisticcat_desc,location_desc,zip_5,source_desc,state_ansi,week_ending,prodn_practice_desc,county_code,congr_district_code,CV (%),year,Value,group_desc,country_name,class_desc,domain_desc,util_practice_desc,asd_desc,watershed_desc,agg_level_desc,county_name,county_ansi,state_alpha,state_name,load_time,commodity_desc,region_desc,freq_desc,unit_desc,state_fips_code,watershed_code,short_desc,begin_code,sector_desc,asd_code,reference_period_desc
SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",,NOT SPECIFIED,00,9000,,077,,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,2019,26.5,SILAGE,TOTAL,,SAN JOAQUIN VALLEY,SAN JOAQUIN,077,CA,COUNTY,CORN,,2021-02-25 15:10:17.000,CALIFORNIA,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00,CROPS,51,YEAR,06,TONS / ACRE,00000000,ANNUAL
2019-03-21 15:00:18.000,CALIFORNIA,CORN,,ANNUAL,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",YEAR,51,00,CROPS,SAN JOAQUIN VALLEY,,COUNTY,SAN JOAQUIN,077,CA,2018,29,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE,00,9000,NOT SPECIFIED,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,,SURVEY,,06,ALL PRODUCTION PRACTICES,077,,
SAN JOAQUIN VALLEY,,COUNTY,CA,077,SAN JOAQUIN,2018-02-22 15:08:35.000,CALIFORNIA,,CORN,ANNUAL,00000000,06,TONS / ACRE,CROPS,51,00,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",9000,00,NOT SPECIFIED,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",,06,SURVEY,ALL PRODUCTION PRACTICES,,077,,28,2017,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE
TOTAL,SILAGE,28.5,2016,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,,077,,9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,06,,SURVEY,ANNUAL,00000000,TONS / ACRE,06,51,CROPS,00,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CALIFORNIA,2017-02-23 15:00:08.000,,CORN,COUNTY,CA,077,SAN JOAQUIN,SAN JOAQUIN VALLEY,
00,9000,NOT SPECIFIED,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,,SURVEY,06,,ALL PRODUCTION PRACTICES,077,,,2015,26,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE,SAN JOAQUIN VALLEY,,COUNTY,SAN JOAQUIN,CA,077,CALIFORNIA,2017-02-23 15:00:08.000,CORN,,ANNUAL,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00,CROPS,51,YEAR
26.5,2014,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE,9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,06,,SURVEY,ALL PRODUCTION PRACTICES,,077,,2015-02-19 15:38:52.000,CALIFORNIA,,CORN,ANNUAL,00000000,TONS / ACRE,06,00,CROPS,51,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",SAN JOAQUIN VALLEY,,COUNTY,077,CA,SAN JOAQUIN
COUNTY,SAN JOAQUIN,CA,077,SAN JOAQUIN VALLEY,,ANNUAL,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,00,CROPS,YEAR,2019-10-01 15:11:43.000,CALIFORNIA,CORN,,ALL PRODUCTION PRACTICES,077,,,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",,SURVEY,06,,TOTAL,SILAGE,2013,28,FIELD CROPS,UNITED STATES,ALL CLASSES
UNITED STATES,ALL CLASSES,29,2012,FIELD CROPS,SILAGE,TOTAL,,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,06,,SURVEY,9000,00,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,,077,2015-06-03 15:08:31.000,CALIFORNIA,,CORN,00000000,06,TONS / ACRE,51,CROPS,YEAR,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,,SAN JOAQUIN VALLEY,077,CA,SAN JOAQUIN,COUNTY
SILAGE,TOTAL,UNITED STATES,ALL CLASSES,28,2011,FIELD CROPS,,ALL PRODUCTION PRACTICES,,077,,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",YIELD,06,,SURVEY,9000,00,NOT SPECIFIED,00000000,TONS / ACRE,06,CROPS,51,00,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,2015-06-03 15:08:31.000,CALIFORNIA,,CORN,CA,077,SAN JOAQUIN,COUNTY,,SAN JOAQUIN VALLEY
SILAGE,TOTAL,UNITED STATES,ALL CLASSES,28.5,2010,FIELD CROPS,,ALL PRODUCTION PRACTICES,,077,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",,06,SURVEY,9000,00,NOT SPECIFIED,00000000,06,TONS / ACRE,00,51,CROPS,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,CALIFORNIA,2015-06-03 15:08:31.000,,CORN,CA,077,SAN JOAQUIN,COUNTY,,SAN JOAQUIN VALLEY
ANNUAL,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,CROPS,00,YEAR,2023-02-24 15:00:00.000,CALIFORNIA,CORN,,COUNTY,STANISLAUS,CA,099,SAN JOAQUIN VALLEY,,TOTAL,SILAGE,2022,27.5,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,099,,05.40,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",,SURVEY,06,
TOTAL,SILAGE,FIELD CROPS,2021,30,ALL CLASSES,UNITED STATES,099,,ALL PRODUCTION PRACTICES,02.90,NOT SPECIFIED,00,9000,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,00,CROPS,YEAR,TONS / ACRE,06,00000000,CORN,,2023-02-24 15:00:00.000,CALIFORNIA,COUNTY,STANISLAUS,099,CA,SAN JOAQUIN VALLEY,
"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,00,YEAR,06,TONS / ACRE,00000000,ANNUAL,CORN,,2022-02-24 15:00:14.000,CALIFORNIA,STANISLAUS,099,CA,COUNTY,,SAN JOAQUIN VALLEY,SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2020,28.5,2.8,099,,ALL PRODUCTION PRACTICES,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",,NOT SPECIFIED,00,9000
,ALL PRODUCTION PRACTICES,,099,,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED,SILAGE,TOTAL,UNITED STATES,ALL CLASSES,28.5,2019,FIELD CROPS,099,CA,STANISLAUS,COUNTY,,SAN JOAQUIN VALLEY,00000000,06,TONS / ACRE,51,CROPS,YEAR,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,2021-02-25 15:10:17.000,CALIFORNIA,,CORN
,SAN JOAQUIN VALLEY,099,CA,STANISLAUS,COUNTY,,CORN,CALIFORNIA,2019-03-21 15:00:18.000,00,51,YEAR,CROPS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,TONS / ACRE,06,ANNUAL,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",YIELD,NOT SPECIFIED,9000,00,,,099,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,28.5,2018,SILAGE,TOTAL
,SAN JOAQUIN VALLEY,STANISLAUS,099,CA,COUNTY,CALIFORNIA,2018-02-22 15:08:35.000,CORN,,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,00,YEAR,51,ANNUAL,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",,SURVEY,,06,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,099,,UNITED STATES,ALL CLASSES,2017,28,FIELD CROPS,SILAGE,TOTAL
UNITED STATES,ALL CLASSES,26.5,2016,FIELD CROPS,SILAGE,TOTAL,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",,06,SURVEY,9000,00,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,,099,2017-02-23 15:00:08.000,CALIFORNIA,,CORN,00000000,06,TONS / ACRE,CROPS,51,00,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,,SAN JOAQUIN VALLEY,099,CA,STANISLAUS,COUNTY
SILAGE,TOTAL,UNITED STATES,ALL CLASSES,2015,25.5,FIELD CROPS,,ALL PRODUCTION PRACTICES,099,,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",YIELD,,SURVEY,06,,00,9000,NOT SPECIFIED,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",YEAR,51,CROPS,00,ANNUAL,2017-02-23 15:00:08.000,CALIFORNIA,CORN,,STANISLAUS,CA,099,COUNTY,,SAN JOAQUIN VALLEY
SILAGE,TOTAL,UNITED STATES,ALL CLASSES,29,2014,FIELD CROPS,,ALL PRODUCTION PRACTICES,,099,,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED,00000000,06,TONS / ACRE,YEAR,CROPS,51,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,CALIFORNIA,2015-02-19 15:38:52.000,,CORN,099,CA,STANISLAUS,COUNTY,,SAN JOAQUIN VALLEY
STANISLAUS,CA,099,COUNTY,,SAN JOAQUIN VALLEY,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,00,51,YEAR,ANNUAL,CALIFORNIA,2019-10-01 15:11:43.000,CORN,,,ALL PRODUCTION PRACTICES,099,,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",YIELD,,SURVEY,06,,00,9000,NOT SPECIFIED,SILAGE,TOTAL,UNITED STATES,ALL CLASSES,2013,25,FIELD CROPS
TOTAL,SILAGE,2012,29,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,099,,,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",,SURVEY,,06,ANNUAL,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,00,YEAR,2015-06-03 15:08:31.000,CALIFORNIA,CORN,,COUNTY,STANISLAUS,099,CA,SAN JOAQUIN VALLEY,
NOT SPECIFIED,9000,00,,06,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",YIELD,,099,ALL PRODUCTION PRACTICES,,FIELD CROPS,27,2011,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,SAN JOAQUIN VALLEY,,COUNTY,CA,099,STANISLAUS,,CORN,CALIFORNIA,2015-06-03 15:08:31.000,ANNUAL,CROPS,51,YEAR,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE
SILAGE,TOTAL,UNITED STATES,ALL CLASSES,2010,27.5,FIELD CROPS,,ALL PRODUCTION PRACTICES,099,,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",YIELD,,SURVEY,,06,00,9000,NOT SPECIFIED,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,00,CROPS,YEAR,ANNUAL,CALIFORNIA,2015-06-03 15:08:31.000,CORN,,STANISLAUS,099,CA,COUNTY,,SAN JOAQUIN VALLEY
,CORN,CALIFORNIA,2023-02-24 15:00:00.000,ANNUAL,51,CROPS,00,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,SAN JOAQUIN VALLEY,,COUNTY,107,CA,TULARE,FIELD CROPS,27,2022,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,NOT SPECIFIED,9000,00,06,,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",YIELD,,107,ALL PRODUCTION PRACTICES,03.00
ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,00,YEAR,TONS / ACRE,06,00000000,CORN,,2023-02-24 15:00:00.000,CALIFORNIA,COUNTY,TULARE,CA,107,SAN JOAQUIN VALLEY,,TOTAL,SILAGE,FIELD CROPS,2021,28.5,ALL CLASSES,UNITED STATES,107,,ALL PRODUCTION PRACTICES,02.80,NOT SPECIFIED,00,9000,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",
CORN,,2022-02-24 15:00:14.000,CALIFORNIA,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00,CROPS,51,YEAR,TONS / ACRE,06,00000000,ANNUAL,,SAN JOAQUIN VALLEY,TULARE,107,CA,COUNTY,ALL CLASSES,UNITED STATES,FIELD CROPS,2020,29,SILAGE,TOTAL,SURVEY,,06,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",,NOT SPECIFIED,00,9000,2.2,107,,ALL PRODUCTION PRACTICES
107,,ALL PRODUCTION PRACTICES,,NOT SPECIFIED,00,9000,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",,TOTAL,SILAGE,FIELD CROPS,2019,28,ALL CLASSES,UNITED STATES,COUNTY,TULARE,107,CA,SAN JOAQUIN VALLEY,,ANNUAL,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",YEAR,51,CROPS,00,06,TONS / ACRE,00000000,CORN,,2021-02-25 15:10:17.000,CALIFORNIA
TULARE,CA,107,COUNTY,,SAN JOAQUIN VALLEY,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,00,YEAR,CROPS,ANNUAL,2019-03-21 15:00:18.000,CALIFORNIA,CORN,,,ALL PRODUCTION PRACTICES,107,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",,SURVEY,06,,00,9000,NOT SPECIFIED,SILAGE,TOTAL,UNITED STATES,ALL CLASSES,2018,29,FIELD CROPS
SILAGE,TOTAL,UNITED STATES,ALL CLASSES,27.5,2017,FIELD CROPS,,ALL PRODUCTION PRACTICES,,107,,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",YIELD,,06,SURVEY,9000,00,NOT SPECIFIED,00000000,06,TONS / ACRE,51,CROPS,00,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL,2018-02-22 15:08:35.000,CALIFORNIA,,CORN,107,CA,TULARE,COUNTY,,SAN JOAQUIN VALLEY
ALL PRODUCTION PRACTICES,,107,,9000,00,NOT SPECIFIED,,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",YIELD,,06,SURVEY,TOTAL,SILAGE,26.5,2016,FIELD CROPS,UNITED STATES,ALL CLASSES,COUNTY,CA,107,TULARE,SAN JOAQUIN VALLEY,,ANNUAL,00000000,TONS / ACRE,06,51,YEAR,00,CROPS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CALIFORNIA,2017-02-23 15:00:08.000,,CORN
TOTAL,SILAGE,2015,25,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,107,,,00,9000,NOT SPECIFIED,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",,SURVEY,06,,ANNUAL,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",51,00,CROPS,YEAR,CALIFORNIA,2017-02-23 15:00:08.000,CORN,,COUNTY,TULARE,CA,107,SAN JOAQUIN VALLEY,
SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,26,2014,,,107,ALL PRODUCTION PRACTICES,,06,SURVEY,,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",YIELD,NOT SPECIFIED,9000,00,CROPS,51,00,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE,ANNUAL,,CORN,CALIFORNIA,2015-02-19 15:38:52.000,107,CA,TULARE,COUNTY,,SAN JOAQUIN VALLEY
SAN JOAQUIN VALLEY,,COUNTY,TULARE,CA,107,2019-10-01 15:11:43.000,CALIFORNIA,CORN,,ANNUAL,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,00,51,YEAR,00,9000,NOT SPECIFIED,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",YIELD,,SURVEY,06,,ALL PRODUCTION PRACTICES,107,,,2013,28.5,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE
2015-06-03 15:08:31.000,CALIFORNIA,CORN,,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,00,YEAR,ANNUAL,,SAN JOAQUIN VALLEY,TULARE,CA,107,COUNTY,UNITED STATES,ALL CLASSES,2012,26,FIELD CROPS,SILAGE,TOTAL,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",,SURVEY,06,,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,107,
TULARE,CA,107,COUNTY,,SAN JOAQUIN VALLEY,TONS / ACRE,06,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",YEAR,CROPS,51,00,ANNUAL,2015-06-03 15:08:31.000,CALIFORNIA,CORN,,,ALL PRODUCTION PRACTICES,107,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",,SURVEY,06,,00,9000,NOT SPECIFIED,SILAGE,TOTAL,UNITED STATES,ALL CLASSES,2011,26.5,FIELD CROPS
"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CROPS,51,YEAR,00,06,TONS / ACRE,00000000,ANNUAL,CORN,,2015-06-03 15:08:31.000,CALIFORNIA,TULARE,107,CA,COUNTY,,SAN JOAQUIN VALLEY,SILAGE,TOTAL,ALL CLASSES,UNITED STATES,FIELD CROPS,2010,27.5,,107,,ALL PRODUCTION PRACTICES,SURVEY,06,,YIELD,"CALIFORNIA, SAN JOAQUIN VALLEY, TULARE",,NOT SPECIFIED,00,9000
SOUTHERN CALIFORNIA,,COUNTY,CA,,OTHER (COMBINED) COUNTIES,CALIFORNIA,2019-03-21 15:00:18.000,,CORN,ANNUAL,00000000,TONS / ACRE,06,00,80,YEAR,CROPS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",9000,00,NOT SPECIFIED,,"CALIFORNIA, SOUTHERN CALIFORNIA, OTHER (COMBINED) COUNTIES",YIELD,,06,SURVEY,ALL PRODUCTION PRACTICES,,998,,25.5,2018,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE
COUNTY,,CA,OTHER (COMBINED) COUNTIES,SOUTHERN CALIFORNIA,,ANNUAL,00000000,TONS / ACRE,06,80,CROPS,YEAR,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CALIFORNIA,2017-02-23 15:00:08.000,,CORN,ALL PRODUCTION PRACTICES,,998,,9000,00,NOT SPECIFIED,,YIELD,"CALIFORNIA, SOUTHERN CALIFORNIA, OTHER (COMBINED) COUNTIES",06,,SURVEY,TOTAL,SILAGE,28,2016,FIELD CROPS,UNITED STATES,ALL CLASSES
9000,00,NOT SPECIFIED,,"CALIFORNIA, SOUTHERN CALIFORNIA, OTHER (COMBINED) COUNTIES",YIELD,06,,SURVEY,ALL PRODUCTION PRACTICES,,998,,26.5,2015,FIELD CROPS,UNITED STATES,ALL CLASSES,TOTAL,SILAGE,SOUTHERN CALIFORNIA,,COUNTY,,CA,OTHER (COMBINED) COUNTIES,CALIFORNIA,2017-02-23 15:00:08.000,,CORN,ANNUAL,00000000,TONS / ACRE,06,CROPS,YEAR,80,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE"
UNITED STATES,ALL CLASSES,2013,23,FIELD CROPS,SILAGE,TOTAL,"CALIFORNIA, SOUTHERN CALIFORNIA, OTHER (COMBINED) COUNTIES",YIELD,,SURVEY,06,,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,998,,CALIFORNIA,2019-10-01 15:11:43.000,CORN,,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",80,CROPS,00,YEAR,ANNUAL,,SOUTHERN CALIFORNIA,OTHER (COMBINED) COUNTIES,CA,,COUNTY
YIELD,"CALIFORNIA, SOUTHERN CALIFORNIA, OTHER (COMBINED) COUNTIES",,SURVEY,,06,00,9000,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,998,,UNITED STATES,ALL CLASSES,2012,20,FIELD CROPS,SILAGE,TOTAL,,SOUTHERN CALIFORNIA,OTHER (COMBINED) COUNTIES,,CA,COUNTY,2015-06-03 15:08:31.000,CALIFORNIA,CORN,,06,TONS / ACRE,00000000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",80,00,CROPS,YEAR,ANNUAL
,YIELD,"CALIFORNIA, SOUTHERN CALIFORNIA, OTHER (COMBINED) COUNTIES",06,,SURVEY,9000,00,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,,998,UNITED STATES,ALL CLASSES,27,2010,FIELD CROPS,SILAGE,TOTAL,,SOUTHERN CALIFORNIA,CA,,OTHER (COMBINED) COUNTIES,COUNTY,CALIFORNIA,2015-06-03 15:08:31.000,,CORN,00000000,06,TONS / ACRE,80,CROPS,00,YEAR,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL
ALL CLASSES,UNITED STATES,FIELD CROPS,2018,24.5,SILAGE,TOTAL,SURVEY,06,,YIELD,"CALIFORNIA, SOUTHERN CALIFORNIA, RIVERSIDE",,NOT SPECIFIED,00,9000,,065,,ALL PRODUCTION PRACTICES,CORN,,CALIFORNIA,2019-03-21 15:00:18.000,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",YEAR,80,00,CROPS,TONS / ACRE,06,00000000,ANNUAL,,SOUTHERN CALIFORNIA,RIVERSIDE,065,CA,COUNTY
NOT SPECIFIED,9000,00,,06,SURVEY,,"CALIFORNIA, SOUTHERN CALIFORNIA, RIVERSIDE",YIELD,,065,ALL PRODUCTION PRACTICES,,FIELD CROPS,25.5,2013,ALL CLASSES,UNITED STATES,TOTAL,SILAGE,SOUTHERN CALIFORNIA,,COUNTY,CA,065,RIVERSIDE,,CORN,CALIFORNIA,2019-10-01 15:11:43.000,ANNUAL,00,CROPS,YEAR,80,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,06,TONS / ACRE
,"CALIFORNIA, SOUTHERN CALIFORNIA, RIVERSIDE",YIELD,06,,SURVEY,9000,00,NOT SPECIFIED,,ALL PRODUCTION PRACTICES,,065,UNITED STATES,ALL CLASSES,27.5,2010,FIELD CROPS,SILAGE,TOTAL,,SOUTHERN CALIFORNIA,065,CA,RIVERSIDE,COUNTY,2015-06-03 15:08:31.000,CALIFORNIA,,CORN,00000000,06,TONS / ACRE,80,00,YEAR,CROPS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",ANNUAL
COUNTY,,CA,OTHER COUNTIES,,,ANNUAL,CROPS,99,YEAR,00,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",00000000,TONS / ACRE,06,,CORN,2023-02-24 15:00:00.000,CALIFORNIA,,998,ALL PRODUCTION PRACTICES,05.10,NOT SPECIFIED,9000,00,06,,SURVEY,,YIELD,"CALIFORNIA, OTHER COUNTIES",TOTAL,SILAGE,FIELD CROPS,23.5,2022,ALL CLASSES,UNITED STATES
SURVEY,06,,YIELD,"CALIFORNIA, OTHER COUNTIES",,NOT SPECIFIED,00,9000,04.70,998,,ALL PRODUCTION PRACTICES,ALL CLASSES,UNITED STATES,FIELD CROPS,2021,26.5,SILAGE,TOTAL,,,OTHER COUNTIES,CA,,COUNTY,CORN,,2023-02-24 15:00:00.000,CALIFORNIA,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",99,CROPS,00,YEAR,TONS / ACRE,06,00000000,ANNUAL
ANNUAL,00000000,TONS / ACRE,06,00,CROPS,YEAR,99,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",CALIFORNIA,2022-02-24 15:00:14.000,,CORN,COUNTY,,CA,OTHER COUNTIES,,,TOTAL,SILAGE,24.5,2020,FIELD CROPS,UNITED STATES,ALL CLASSES,ALL PRODUCTION PRACTICES,,998,4.7,9000,00,NOT SPECIFIED,,YIELD,"CALIFORNIA, OTHER COUNTIES",,06,SURVEY
